query,pos_similar,neg_similar
Những biện_pháp để bảo_vệ sự đa_dạng sinh_học, ,"Các biện_pháp nào sau đây không liên_quan đến việc bảo_vệ sự đa_dạng sinh_học ? 
 A. Quản_lý và giám_sát diện_tích rừng . 
 B. Giới_thiệu loài mới vào môi_trường tự_nhiên . 
 C. Xác_định và bảo_tồn khu_vực thiên_nhiên quan_trọng . 
 D. Hạn_chế khai_thác không bền_vững tài_nguyên thiên_nhiên ."
"Cho 2,22 gam hỗn_hợp Al và Fe vào 500ml dung_dịch HNO3 0,5 M thu được dung_dịch A và 1,12 lít NO duy_nhất ( đktc ) . Cho dung_dịch A tác_dụng với 210ml NaOH 1M thì thu được kết_tủa , đem nung kết_tủa trong không_khí đến khối_lượng không đổi thu được bao_nhiêu gam chất_rắn .","Cho 3,33 gam hỗn_hợp Al và Fe vào 750ml dung_dịch HNO3 0,7 M thu được dung_dịch B và 1,68 lít NO duy_nhất ( đktc ) . Cho dung_dịch B tác_dụng với 240ml NaOH 1,2 M thì thu được kết_tủa , đem nung kết_tủa trong không_khí đến khối_lượng không đổi thu được bao_nhiêu gam chất_rắn .", 
"Hỗn_hợp X gồm glucozơ và tinh_bột . Chia X làm 2 phần bằng nhau . Phần 1 : cho phản_ứng với dung_dịch AgNO3 / NH3 dư tạo ra 3,24 gam Ag . Phần 2 : đem thủy_phân hoàn_toàn bằng dung_dịch H2SO4 loãng rồi trung hòa axit dư bằng dung_dịch NaOH , sau đó cho toàn_bộ sản_phẩm tác_dụng với dung_dịch AgNO3 / NH3 tạo ra 9,72 gam Ag . Khối_lượng tinh_bột trong X là 
 A. 7,29 . 
 B. 14,58 . 
 C. 9,72 . 
 D. 4,86 .", ,"Hỗn_hợp X gồm glucozơ và tinh_bột . Chia X làm 2 phần bằng nhau . Phần 1 : cho phản_ứng với dung_dịch AgNO3 / NH3 dư tạo ra 4,32 gam Ag . Phần 2 : đem thủy_phân hoàn_toàn bằng dung_dịch H2SO4 loãng rồi trung hòa axit dư bằng dung_dịch NaOH , sau đó cho toàn_bộ sản_phẩm tác_dụng với dung_dịch AgNO3 / NH3 tạo ra 12,96 gam Ag . Khối_lượng glucozơ trong X là 
 A. 7,29 . 
 B. 14,58 . 
 C. 9,72 . 
 D. 4,86 ."
"Các polime thuộc loại tơ nhân_tạo là 
 A. Tơ visco và tơ nilon - 6,6 
 B. Tơ_tằm và tơ vinilon 
 C. Tơ nilon - 6,6 và tơ capron 
 D. Tơ visco và tơ xenlulozơ axetat","Thuộc loại polime nào dưới đây là tơ nhân_tạo ? 
 A. Tơ_tằm và tơ vinilon 
 B. Tơ visco và tơ xenlulozơ axetat 
 C. Tơ visco và tơ nilon - 6,6 
 D. Tơ nilon - 6,6 và tơ capron", 
"Hiện_tượng tán_sắc ánh_sáng chứng_tỏ 
 A. mỗi ánh_sáng đơn_sắc có 1 bước_sóng xác_định trong chân_không 
 B. chiết_suất của môi_trường có giá_trị lớn đối_với ánh_sáng có bước_sóng lớn 
 C. ánh_sáng trắng là tổng_hợp của vô_số ánh_sáng đơn_sắc và có màu từ đỏ đến tím 
 D. vận_tốc truyền của ánh_sáng tỉ_lệ với chiết_suất của môi_trường","Các hiện_tượng sau đây , hiện_tượng nào chứng_tỏ rằng mỗi ánh_sáng đơn_sắc có 1 bước_sóng xác_định trong chân_không ? 
 A. Hiện_tượng tán_sắc ánh_sáng 
 B. Chiết_suất của môi_trường có giá_trị lớn đối_với ánh_sáng có bước_sóng lớn 
 C. Ánh_sáng trắng là tổng_hợp của vô_số ánh_sáng đơn_sắc và có màu từ đỏ đến tím 
 D. Vận_tốc truyền của ánh_sáng tỉ_lệ với chiết_suất của môi_trường", 
"Cho số_phức z = 1 + 3 i , Khi đó số_phức liên_hợp của số_phức z là 
 A. - 1 + 3 i . 
 B. - 1 - 3 i . 
 C. 1 - 3 i . 
 D. 3 + i .", ,"Trong mặt_phẳng toạ_độ Oxy , cho điểm M ( - 3 ; 4 ) là điểm biểu_diễn của số_phức z . Môđun số_phức z bằng 
 A. 1 
 B. 25 
 C. \ sqrt { 7 } 
 D. 5"
"Quả bóng_bay dù được buộc chặt , để lâu ngày vẫn bị xẹp vì 
 A. không_khí trong bóng lạnh dần đến co lại 
 B. cao_su là chất đàn_hồi nên sau khi bị thổi căng nó tự_động co lại 
 C. không_khí nhẹ nên có_thể chui qua chỗ buộc ra ngoài 
 D. giữa các phân_tử làm vỏ bóng có khoảng_cách nên các phân_tử không_khí có_thể thoát ra","Tại_sao quả bóng_bay dù được buộc chặt vẫn bị xẹp sau một thời_gian ? 
 A. Không_khí trong bóng lạnh dần đến co lại . 
 B. Cao_su là chất đàn_hồi nên sau khi bị thổi căng nó tự_động co lại . 
 C. Không_khí nhẹ nên có_thể chui qua chỗ buộc ra ngoài . 
 D. Giữa các phân_tử làm vỏ bóng có khoảng_cách nên các phân_tử không_khí có_thể thoát ra .", 
Kể những triệu_chứng_bệnh bọc niêm_dịch miệng ( Oral mucocele ) .,Loại bệnh miệng nào có triệu_chứng bọc niêm_dịch miệng ( Oral mucocele ) ?, 
Phân_biệt giữa nguyên phân và giảm phân về loại tế_bào tham_gia và kết_quả phân_biệt giảm phân 1với giảm phân 2 ở kì giữa và kì sau,"So_sánh và phân_biệt nguyên phân và giảm phân về loại tế_bào tham_gia và kết_quả phân_biệt giảm phân 1 với giảm phân 2 trong kì trước , kì giữa và kì sau .", 
6 . Bảng kết_quả đo : Giải bài_tập Vật_Lý 6 | Để học tốt Vật_Lý 6 Giá_trị trung_bình của khối_lượng riêng của sỏi là : D T_B = D 1 + D 2 + D 33 = ... k g / m 3 Kết_quả đo các em tự_điền vào bảng là thực_hiện theo hướng_dẫn, ,"6 . Bảng kết_quả đo : Giải bài_tập Hóa_Học 10 | Để học tốt Hóa_Học 10 
 Giá_trị trung_bình của tỉ_lệ mol giứơng chất trong một hợp_chất A là : D T_B = mol A + mol B + mol C = ... mol / m3 Kết_quả đo các em tự_điền vào bảng là thực_hiện theo hướng_dẫn"
